state,district,IF__anomaly_density,IF__anomaly_count,rows
Uttar Pradesh,AZAMGARH,0.1275720164609053,62.0,486
Uttar Pradesh,BAGHPAT,0.242798353909465,118.0,486
Uttar Pradesh,BAHRAICH,0.1069958847736625,52.0,486
Uttar Pradesh,BALRAMPUR,0.1481481481481481,72.0,486
Uttar Pradesh,BANDA,0.0864197530864197,42.0,486
Uttar Pradesh,BARABANKI,0.2181069958847736,106.0,486
Uttar Pradesh,BIJNOR,0.102880658436214,50.0,486
Uttar Pradesh,BUDAUN,0.2325102880658436,113.0,486
Uttar Pradesh,Buland Shahar,0.0411522633744856,20.0,486
Uttar Pradesh,CHANDAULI,0.2222222222222222,108.0,486
Uttar Pradesh,FATEHPUR,0.1563786008230452,76.0,486
Uttar Pradesh,G.B. Nagar,0.1275720164609053,62.0,486
Uttar Pradesh,GHAZIABAD,0.0493827160493827,24.0,486
Uttar Pradesh,GHAZIPUR,0.1213991769547325,59.0,486
Uttar Pradesh,GORAKHPUR,0.0864197530864197,42.0,486
Uttar Pradesh,HATHRAS,0.1316872427983539,64.0,486
Uttar Pradesh,Hapur,0.0534979423868312,26.0,486
Uttar Pradesh,JAUNPUR,0.2242798353909465,109.0,486
Uttar Pradesh,JYOTIBA PHULE NAGAR,0.1748971193415638,85.0,486
Uttar Pradesh,LUCKNOW,0.2139917695473251,104.0,486
Uttar Pradesh,MAU,0.2098765432098765,102.0,486
Uttar Pradesh,MEERUT,0.0473251028806584,23.0,486
Uttar Pradesh,MORADABAD,0.2386831275720164,116.0,486
Uttar Pradesh,MUZAFFARNAGAR,0.1131687242798353,55.0,486
Uttar Pradesh,PRATAPGARH,0.051440329218107,25.0,486
Uttar Pradesh,RAMPUR,0.0411522633744856,20.0,486
Uttar Pradesh,Raibareli,0.0411522633744856,20.0,486
Uttar Pradesh,SAHARANPUR,0.1090534979423868,53.0,486
Uttar Pradesh,SHAMLI,0.0534979423868312,26.0,486
Uttar Pradesh,SHRAWASTI,0.1296296296296296,63.0,486
Uttar Pradesh,SIDDHARTHNAGAR,0.1728395061728395,84.0,486
Uttar Pradesh,Sambhal,0.1316872427983539,64.0,486
Uttar Pradesh,VARANASI,0.1213991769547325,59.0,486
Uttarakhand,Dehradun,0.0602150537634408,28.0,465
Uttarakhand,Haridwar,0.2436708860759493,77.0,316
Uttarakhand,Nainital,0.228395061728395,111.0,486
Uttarakhand,UDHAM SINGH NAGAR,0.1768115942028985,61.0,345
West Bengal,BANKURA,0.0987654320987654,48.0,486
West Bengal,BARDDHAMAN,0.2345679012345679,114.0,486
West Bengal,DAKSHIN DINAJPUR,0.0596707818930041,29.0,486
West Bengal,East Medinipur,0.1646090534979424,80.0,486
West Bengal,HUGLI,0.1090534979423868,53.0,486
West Bengal,JHARGRAM,0.2325102880658436,113.0,486
West Bengal,KOLKATA,0.242798353909465,118.0,486
West Bengal,MALDAH,0.1728395061728395,84.0,486
West Bengal,MURSHIDABAD,0.1193415637860082,58.0,486
West Bengal,NADIA,0.242798353909465,118.0,486
West Bengal,NORTH 24 PARGANAS,0.2407407407407407,117.0,486
West Bengal,PASCHIM BARDHAMAN,0.0493827160493827,24.0,486
West Bengal,PURBA BARDHAMAN,0.2139917695473251,104.0,486
West Bengal,PURULIYA,0.242798353909465,118.0,486
West Bengal,SOUTH 24 PARGANAS,0.0432098765432098,21.0,486
West Bengal,West Medinipur,0.1604938271604938,78.0,486
